あ, duck 
い, dog 
う, horse
え, station attendant
お, ghost
か, crow
き, goldfish | fox
く, bear 
け, police
こ, koala
さ, monkey
し, god of death
す, sumo
せ, teacher
そ, prime minister
た, octopus
ち, butterfly
つ, crane
て, shop staff
と, tiger
な, eggplant character
に, ninja
ぬ, tanuki
ね, cat
の, farmer
は, mother
ひ, sheep
ふ, owl 
へ, snake charmer
ほ, star 
ま, tuna
み, orange
む, bug 
め, eyeglasses 
も, momotaro | peach 
や, baseball bat | baseball
わ, alligator
ゆ, snowman
ん, book
よ, yacht 
ら, camel
り, squirrel
る, frog
れ, lemon
ろ, robot
が, skeleton
ぎ, guitar
ぐ, racoon
げ, sandles
ご, golf
ざ, lobster
じ, bicycle
ず, jeans
ぜ, turtle
ぞ, elephant 
だ, pillbug | daicon
ぢ, dumbell
づ, cresent moon
で, lightbulb
ど, donut
ば, banana
び, green pepper
ぶ, pig
べ, penguin
ぼ, hat
ぱ, pineapple
ぴ, pizza 
ぷ, present
ぺ, pelican
ぽ, pot
きゃ, cabbage
きゅ, cucumber
きょ, dinosaur
ぎゃ, slot machine
ぎゅ, cow
ぎょ, gyoza
しゃ, camera
しゅ, lord
しょ, plant
じゃ, potato
じゅ, juice
じょ, watering can
ちゃ, pumpkin
ちゅ, tulip
ちょ, chocolate
ぢゃ, fried rice
ぢゅ, globe
ぢょ, latern
にゃ, konyaku
にゅ, cloud
にょ, walking stick 
ひゃ, coin
ひゅ, hydra
ひょ, gourd
びゃ, oak tree
びゅ, microphone
びょ, ambulance
ぴゃ, police car
ぴゅ, computer
ぴょ, bunny
みゃ, boulder
みゅ, radio
みょ, fire
りゃ, ram
りゅ, bag
りょ, fishing pole
っ, cup
ー, cheese
